ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
Seq_160,17.74,60.79,42.38,67.21,33.14,10.99,73.33,20.99,29.36,76.84,62.89,35.04,27.65,37.73,11.56,31.87,27.32,21.79,71.95,0.00
Seq_161,11.98,118.03,0.00,68.61,30.39,19.33,58.68,15.99,60.32,11.29,87.34,89.53,41.37,55.37,60.12,23.31,26.54,18.36,46.83,31.32
Seq_162,24.72,90.63,23.16,20.10,38.02,26.56,77.60,20.47,15.26,22.09,125.05,27.53,32.14,58.36,77.23,53.86,19.12,17.11,104.47,37.12
Seq_163,25.56,34.93,36.25,24.20,36.90,15.27,49.25,16.30,11.05,18.83,0.00,18.98,15.43,34.66,17.59,32.67,32.09,7.83,32.78,0.00
Seq_164,20.97,218.47,33.74,24.83,54.64,22.18,47.44,35.57,149.43,14.67,73.83,146.39,36.51,52.79,18.86,25.19,38.40,28.17,161.14,104.14
Seq_165,26.07,154.47,24.90,34.58,66.23,23.22,100.10,18.50,34.17,19.09,82.69,34.63,49.42,57.28,35.73,24.58,21.93,16.90,155.38,60.32
Seq_166,16.91,79.85,31.14,20.32,58.90,17.45,54.44,27.37,27.82,23.67,56.15,50.79,48.13,42.13,65.54,49.55,35.44,21.33,117.49,47.32
Seq_167,22.78,0.00,29.69,22.69,53.61,25.91,64.55,23.55,33.32,18.81,42.91,39.91,31.60,49.85,42.97,25.00,23.56,30.48,0.00,47.11
Seq_168,10.79,0.00,56.75,81.97,102.20,11.74,58.00,34.42,90.62,20.10,78.58,18.11,27.86,33.90,40.00,12.98,30.17,16.57,101.60,60.51
Seq_169,62.48,129.81,26.94,37.40,41.99,19.93,63.80,27.59,30.11,23.37,61.75,24.86,25.26,61.05,42.40,35.95,51.39,27.66,45.93,36.39
Seq_170,35.99,75.42,24.58,19.76,22.63,26.39,84.52,21.82,30.13,11.83,58.40,29.48,40.75,32.31,34.23,37.68,31.76,16.93,0.00,24.99
Seq_171,19.35,33.58,17.29,24.40,40.79,31.13,33.74,26.32,20.87,27.01,33.32,50.63,25.71,33.44,44.89,40.72,24.90,36.21,131.32,51.12
Seq_172,24.33,51.43,54.46,53.10,48.25,27.27,79.27,30.30,44.14,11.18,45.51,33.60,30.30,35.04,40.14,18.61,66.05,28.68,143.27,37.02
Seq_173,18.52,105.94,24.42,27.56,72.75,18.86,52.94,23.01,46.36,18.03,115.30,45.45,22.33,73.57,32.64,27.97,25.81,17.30,215.34,80.58
Seq_174,32.77,301.96,21.93,26.96,32.67,26.90,50.57,23.78,20.96,23.07,28.75,52.92,32.48,45.13,61.10,47.12,28.86,19.37,107.22,65.33
Seq_175,20.10,0.00,31.76,24.11,40.58,16.45,73.74,48.80,105.50,13.87,72.06,69.76,44.84,55.34,14.92,41.36,42.54,14.93,0.00,83.61
Seq_176,32.12,254.64,18.01,36.22,51.96,17.10,46.82,25.75,25.15,22.85,132.58,40.98,33.46,44.06,57.43,44.66,27.07,25.05,66.70,43.51
Seq_177,14.39,99.77,35.94,27.99,201.48,39.05,73.96,44.04,36.86,17.16,121.30,42.16,36.04,21.08,19.81,30.13,28.72,46.62,204.77,95.94
Seq_178,19.23,121.57,37.31,25.80,46.10,20.21,84.34,27.11,128.11,23.67,87.21,74.02,33.44,50.85,36.71,36.89,33.34,19.02,304.68,70.75
Seq_179,10.00,68.21,22.90,37.36,71.36,20.42,129.04,53.36,44.75,14.53,76.10,63.32,29.96,67.23,17.75,22.88,20.84,24.37,170.27,251.77
Seq_180,30.81,93.48,31.30,43.28,44.61,21.92,92.52,26.27,31.95,26.64,107.35,22.01,106.09,36.34,36.95,31.22,25.09,31.72,72.55,50.99
Seq_181,35.60,0.00,31.21,12.77,42.93,17.41,69.87,11.69,14.93,14.56,45.40,44.18,28.97,120.61,43.60,20.30,25.99,25.09,0.00,45.84
Seq_182,9.28,32.99,19.10,25.54,0.00,16.26,38.19,29.26,16.63,34.29,26.03,67.32,29.48,33.20,48.25,19.79,28.46,19.16,47.69,44.67
Seq_183,16.37,0.00,27.67,13.97,60.02,7.82,69.64,21.48,122.31,28.01,53.30,11.97,32.54,18.87,32.56,17.82,36.31,26.61,38.14,39.30
Seq_184,22.84,56.48,21.94,34.00,28.37,25.13,192.70,15.36,22.87,19.71,72.39,30.12,69.84,84.71,32.27,35.70,24.94,38.68,166.16,128.07
Seq_185,28.00,90.18,70.78,33.80,58.43,15.18,114.02,22.97,21.50,15.09,80.97,79.38,47.14,37.18,28.74,26.34,43.74,16.16,160.83,50.84
Seq_186,15.08,122.08,26.76,32.68,35.47,16.24,65.75,31.37,34.32,21.33,63.91,63.03,28.12,101.74,41.33,35.95,53.61,17.79,186.40,45.39
Seq_187,15.49,100.29,23.44,34.20,63.42,16.46,57.12,30.74,157.09,16.14,95.99,88.69,30.37,77.53,23.82,65.43,53.67,22.49,80.02,58.28
Seq_188,21.96,0.00,34.19,18.69,30.48,16.89,46.01,49.97,87.80,24.67,84.11,28.83,24.46,53.23,25.95,65.76,44.15,31.48,64.10,38.95
Seq_189,18.39,0.00,17.23,43.15,26.54,15.50,99.61,33.35,50.50,25.57,242.87,21.82,81.08,38.87,59.87,23.12,42.05,31.71,63.37,59.05
Seq_190,38.68,92.89,50.01,40.41,47.42,28.61,38.45,40.65,34.87,21.25,55.17,43.90,31.68,69.89,25.24,31.69,30.37,29.86,47.24,29.40
Seq_191,26.49,84.81,61.10,33.66,54.50,18.12,49.51,37.38,48.64,14.73,65.14,58.13,27.88,48.04,29.95,33.71,33.57,21.61,95.93,42.34
Seq_192,10.92,82.91,37.96,22.77,27.85,34.71,76.48,21.80,19.68,11.88,63.28,23.14,28.65,95.31,10.12,23.98,26.25,25.09,0.00,72.72
Seq_193,22.33,94.00,16.88,44.11,30.25,22.79,68.96,45.34,99.23,19.18,38.36,39.80,34.74,26.31,23.71,37.18,30.77,20.40,75.71,56.74
Seq_194,29.25,187.70,26.54,41.27,26.43,22.40,46.48,32.95,47.94,20.17,50.96,51.45,27.80,32.91,28.27,50.36,38.55,48.42,72.02,31.26
Seq_195,23.97,78.93,20.67,37.03,72.26,21.60,78.00,16.60,32.33,20.93,57.66,31.97,22.10,59.39,28.86,50.20,33.19,27.05,95.65,29.78
Seq_196,33.56,94.28,39.16,19.86,46.02,40.32,47.19,58.04,25.63,20.76,69.45,59.87,36.24,32.64,18.98,29.68,42.12,22.69,49.69,43.94
Seq_197,26.38,121.44,48.57,24.70,55.31,32.02,39.16,21.98,40.22,18.52,108.81,45.07,40.07,35.48,43.08,23.12,32.91,32.13,169.48,48.01
Seq_198,15.44,50.30,36.84,22.63,37.44,16.56,108.41,125.51,116.24,9.58,162.93,191.04,29.61,37.52,14.84,31.49,53.20,23.80,120.79,98.52
Seq_199,31.43,49.52,21.07,38.86,26.79,24.35,65.59,27.51,29.59,26.27,54.26,19.20,55.08,37.27,31.13,20.75,20.97,20.55,119.12,39.29
Seq_200,16.36,123.50,23.10,21.09,42.27,17.55,70.85,26.53,30.82,21.59,60.76,77.05,32.41,42.51,18.55,34.56,19.35,25.80,87.45,52.93
Seq_201,28.91,232.98,90.49,41.61,53.85,53.90,80.30,15.40,18.85,13.61,168.36,46.24,64.22,68.06,39.35,22.54,34.99,36.53,130.33,70.70
Seq_202,10.36,0.00,58.77,21.37,60.07,20.38,130.56,33.57,41.39,16.47,60.02,87.81,32.28,57.71,24.70,39.81,34.46,16.16,131.72,30.58
Seq_203,42.07,44.79,20.73,16.43,33.51,30.61,61.84,20.84,11.11,15.28,51.68,37.85,24.18,28.03,61.84,18.81,14.46,11.41,0.00,28.90
Seq_204,38.01,124.45,45.05,19.39,59.03,41.58,92.83,61.73,32.37,23.46,67.58,77.94,33.70,43.21,33.02,22.04,48.33,22.98,105.77,114.23
Seq_205,21.34,0.00,26.24,21.82,31.19,21.16,53.66,20.15,28.63,15.23,37.52,59.66,30.96,23.51,44.64,22.99,34.36,55.34,66.27,63.44
Seq_206,38.07,163.64,32.42,28.24,39.04,20.70,66.83,32.95,38.31,16.73,99.55,41.76,45.86,37.70,31.36,29.31,33.72,34.93,87.11,39.57
Seq_207,25.17,169.40,32.84,42.94,39.94,20.92,85.75,37.34,53.78,13.51,57.97,87.54,31.60,65.37,37.48,30.28,35.65,18.70,114.41,171.50
Seq_208,22.75,168.80,32.70,29.32,49.18,20.70,114.97,24.84,21.68,25.45,70.59,30.03,23.18,22.87,72.36,24.09,30.69,21.22,83.04,36.83
Seq_209,40.54,380.58,35.51,24.99,51.32,68.93,165.93,21.88,17.97,20.08,95.41,27.97,42.33,65.85,40.65,19.78,34.94,39.07,135.41,25.35
Seq_210,24.65,86.76,25.08,33.87,45.94,23.08,55.11,32.07,31.24,15.21,46.43,43.52,39.25,51.48,64.71,31.49,50.10,16.57,91.38,61.27
Seq_211,26.19,99.76,51.17,30.05,43.90,23.29,55.49,38.95,53.17,18.81,103.43,35.89,30.62,56.25,18.69,28.24,31.83,22.87,88.30,64.51
Seq_212,18.55,119.50,20.13,27.21,49.35,17.86,115.65,35.97,71.20,12.27,157.41,63.89,31.26,34.25,18.96,49.70,40.82,18.31,81.76,77.09
Seq_213,21.51,171.82,48.70,18.54,42.04,42.32,57.50,22.34,31.89,24.26,70.49,34.80,56.40,43.86,21.80,36.00,23.27,17.53,86.49,47.63
Seq_214,20.12,293.16,21.38,65.33,25.89,23.17,88.11,37.74,27.77,22.39,72.04,30.92,29.59,35.16,83.92,48.07,30.86,29.19,68.02,39.50
Seq_215,42.87,93.81,24.78,26.05,46.84,45.94,55.23,35.55,55.86,16.91,61.75,38.16,53.26,34.06,44.16,19.45,22.78,36.38,154.83,60.53
Seq_216,13.41,110.93,39.17,25.56,87.50,14.24,82.98,53.88,49.76,33.77,66.62,59.47,33.35,63.83,34.99,41.92,38.37,22.06,212.49,77.58
Seq_217,35.66,0.00,22.99,24.38,24.54,40.81,41.99,32.16,13.93,15.90,85.43,41.20,35.57,42.90,56.39,27.65,25.87,62.56,123.86,25.14
Seq_218,53.24,134.40,31.34,16.24,44.78,26.93,191.14,23.05,15.85,17.53,295.36,76.44,59.77,38.01,31.65,45.66,23.44,14.57,198.84,51.84
Seq_219,19.48,149.18,31.42,39.93,45.56,20.53,37.71,24.13,57.50,15.10,72.37,42.85,48.26,29.17,39.15,31.27,28.68,25.53,109.24,80.23
Seq_220,30.18,0.00,26.86,39.35,48.16,38.39,55.04,23.20,42.25,19.31,101.99,40.51,37.65,32.91,41.72,22.04,21.45,35.91,291.02,118.31
Seq_221,28.17,466.09,41.84,25.35,49.58,42.09,85.88,21.49,34.97,17.94,65.45,45.40,39.86,31.24,33.45,28.82,40.41,32.86,173.08,54.72
Seq_222,22.98,73.81,73.55,42.90,26.69,26.37,91.74,26.49,34.53,22.17,49.30,31.12,50.34,42.70,30.69,23.57,39.51,29.36,67.60,45.68
Seq_223,37.82,140.24,32.44,22.84,76.38,52.80,115.61,29.77,16.38,19.84,47.68,17.52,58.42,61.71,17.15,31.07,37.98,66.54,0.00,106.83
Seq_224,19.11,50.83,53.25,23.54,41.83,20.87,219.91,35.76,39.17,14.53,81.71,40.19,79.24,50.03,30.68,24.09,32.19,19.38,146.82,144.34
Seq_225,46.20,51.86,57.27,23.21,30.66,20.74,44.74,112.31,39.89,19.93,119.32,42.64,34.68,22.99,23.23,23.86,23.94,14.80,63.42,36.40
Seq_226,12.11,85.81,24.47,60.37,31.82,56.01,15.65,0.00,19.23,12.99,50.25,41.63,23.62,73.84,49.04,20.63,25.80,17.95,114.96,73.39
Seq_227,24.73,182.07,22.47,17.55,41.10,18.97,29.36,41.50,27.32,17.36,54.86,63.34,40.70,43.09,40.95,25.81,24.99,31.55,62.37,46.64
Seq_228,9.77,0.00,35.11,16.71,58.26,26.86,0.00,65.26,10.04,51.43,50.01,31.39,42.07,0.00,17.27,18.72,64.87,26.84,41.72,45.24
Seq_229,25.15,495.67,26.76,33.92,42.42,19.26,116.46,54.80,40.28,22.25,62.24,41.07,39.73,33.63,41.48,30.34,39.23,29.78,77.42,46.59
Seq_230,23.99,83.95,23.89,34.09,43.13,16.89,50.69,27.99,25.30,13.64,82.65,33.33,39.45,29.04,49.17,33.57,46.82,28.59,144.05,26.80
Seq_231,22.59,61.42,31.48,25.22,45.09,22.35,35.83,25.43,48.92,18.11,89.66,42.13,35.31,128.54,31.24,25.29,28.94,24.12,91.91,31.42
Seq_232,19.47,72.01,26.28,18.34,0.00,34.96,41.02,10.96,18.67,8.26,80.23,74.99,56.09,39.80,26.13,27.01,24.76,31.87,88.21,0.00
Seq_233,21.93,18.09,17.79,29.53,36.70,29.23,52.99,30.23,35.20,19.89,29.13,40.83,26.81,30.42,48.54,26.83,20.24,36.23,23.23,83.17
Seq_234,26.36,96.67,19.13,22.00,48.00,36.20,90.13,20.34,12.20,13.49,47.68,46.64,68.11,49.60,149.63,24.06,25.13,33.66,249.67,25.83
Seq_235,19.23,0.00,101.98,66.34,22.14,25.75,115.80,28.47,65.03,12.27,47.26,76.83,37.29,104.51,86.15,19.98,34.08,23.52,72.72,41.95
Seq_236,26.40,65.33,76.36,36.20,54.65,20.58,78.56,55.98,43.62,20.93,110.31,94.31,16.29,43.33,56.55,25.68,54.37,43.64,180.36,185.14
Seq_237,7.91,48.68,16.89,52.94,30.40,36.20,36.08,74.42,0.00,31.56,40.92,29.99,49.23,34.07,23.01,19.05,0.00,15.26,83.95,102.15
Seq_238,17.44,99.81,26.78,25.80,34.13,23.55,40.17,47.12,47.17,9.43,97.77,50.41,24.59,32.75,32.65,32.58,42.25,27.06,61.92,45.99
Seq_239,68.00,42.75,48.43,17.50,25.08,18.55,23.41,141.77,14.51,27.84,99.85,37.94,54.29,28.65,24.29,23.48,30.90,38.28,170.22,58.54
Seq_240,28.88,0.00,14.83,20.11,41.02,15.47,55.96,13.91,13.38,13.41,59.47,37.28,47.90,67.56,29.30,23.49,28.89,20.16,0.00,47.28
Seq_241,26.43,91.61,38.47,49.80,44.37,34.67,85.42,31.97,38.43,24.19,62.36,37.29,39.89,45.44,43.44,28.75,29.70,23.04,177.07,47.21
Seq_242,32.55,73.10,38.03,49.33,36.92,33.55,109.18,34.64,28.40,23.65,90.32,34.90,56.50,68.70,74.64,30.68,36.65,20.64,166.50,43.04
Seq_243,16.23,216.13,27.30,44.41,41.95,17.56,113.48,70.51,89.25,30.47,160.19,54.96,32.74,50.46,41.93,27.83,30.43,24.00,58.18,38.45
Seq_244,11.81,138.86,49.60,40.23,41.49,13.88,81.26,42.07,25.61,25.20,53.39,33.67,23.06,145.58,106.58,19.91,47.34,15.14,0.00,116.78
Seq_245,22.79,136.67,17.28,26.44,52.78,17.43,50.80,20.53,136.39,20.93,76.57,25.98,33.95,36.62,51.03,31.98,38.96,28.50,136.71,29.39
Seq_246,7.67,76.06,28.69,19.85,44.87,17.80,92.89,28.62,48.36,15.75,43.65,48.43,29.28,130.25,17.91,27.97,38.60,24.66,107.26,137.47
Seq_247,36.43,208.14,36.13,18.97,44.89,32.57,87.86,32.72,19.42,28.17,83.79,41.52,25.58,32.18,47.26,26.44,29.64,31.41,200.66,198.74
Seq_248,56.04,0.00,23.90,23.15,31.26,24.36,32.62,14.24,20.07,16.60,71.32,52.33,21.96,33.61,14.22,30.25,15.36,17.01,0.00,0.00
Seq_249,29.16,190.01,24.03,32.65,37.40,21.47,89.60,23.98,70.01,48.45,116.13,43.54,41.52,53.92,56.55,53.25,36.21,23.59,42.35,38.44
Seq_250,21.09,0.00,47.35,43.60,31.40,23.00,153.46,23.79,42.18,13.91,63.78,45.31,48.28,45.26,45.51,22.25,33.78,27.13,163.92,68.11
Seq_251,10.89,195.03,28.05,22.25,30.50,22.53,106.56,44.42,26.87,19.61,47.77,27.23,54.15,24.12,28.34,25.16,26.22,15.90,73.90,53.22
Seq_252,22.32,39.83,29.36,21.32,53.05,34.47,70.08,29.67,21.78,18.54,55.75,35.72,65.08,26.04,47.13,29.73,32.05,27.81,78.06,38.55
Seq_253,22.92,101.31,38.20,13.01,63.83,25.26,66.30,86.52,11.89,25.28,74.35,23.50,120.01,31.81,25.93,24.23,25.47,42.39,103.89,83.17
Seq_254,18.65,59.86,26.78,25.58,65.18,16.69,25.65,9.62,23.07,20.51,40.01,20.38,29.86,42.76,21.25,12.92,23.75,15.95,0.00,0.00
Seq_255,33.26,76.40,30.38,23.20,52.96,15.04,100.61,28.96,16.58,44.90,45.06,56.03,26.73,84.67,38.40,24.27,34.88,33.31,34.48,36.61
Seq_256,23.47,84.70,14.28,11.62,28.49,18.61,106.70,18.03,21.08,17.16,29.90,40.34,89.95,55.31,25.97,29.78,33.94,34.93,0.00,0.00
Seq_257,19.85,169.36,57.10,34.25,126.25,20.34,61.26,162.92,150.95,13.28,378.60,190.86,22.17,27.10,28.19,31.33,37.40,22.86,211.91,218.78
Seq_258,18.73,138.51,25.04,18.84,24.98,33.01,77.84,40.37,36.96,20.84,40.61,51.32,44.70,29.57,86.77,34.01,19.18,24.28,143.30,35.76
Seq_259,13.70,0.00,18.60,29.62,43.84,27.51,51.35,19.74,26.73,18.23,78.24,48.06,26.31,51.65,36.57,53.37,23.90,22.60,151.08,40.06
Seq_260,33.45,183.27,42.43,24.33,29.90,23.69,96.06,30.18,27.52,11.63,95.13,45.57,25.53,25.61,28.99,33.30,31.66,61.14,94.25,87.24
Seq_261,23.18,72.60,22.54,19.51,23.81,23.59,31.30,26.10,27.46,18.36,60.71,30.92,45.48,70.10,24.36,31.45,16.49,36.45,90.03,28.26
Seq_262,29.87,76.98,25.32,33.82,30.91,29.98,53.18,54.44,33.61,23.11,44.39,32.63,44.96,36.43,32.35,23.41,21.67,29.68,158.85,38.23
Seq_263,36.05,0.00,23.96,13.08,35.02,14.22,53.42,29.22,17.88,36.45,74.17,56.40,36.98,92.11,29.41,63.24,71.54,15.69,94.06,56.91
Seq_264,57.57,0.00,26.27,22.23,12.42,22.34,0.00,21.10,11.80,14.88,115.01,24.11,60.25,73.93,10.38,31.75,41.61,17.92,48.92,56.01
Seq_265,18.93,46.30,45.06,37.45,25.35,25.14,37.18,24.99,24.70,10.38,74.88,26.95,29.52,34.17,28.89,29.16,23.29,16.90,64.52,89.77
Seq_266,34.55,131.44,37.26,63.11,38.59,21.86,40.29,70.92,73.57,23.09,80.96,27.67,23.50,36.53,49.07,19.59,33.97,44.54,320.05,96.91
Seq_267,25.79,88.79,34.11,21.58,36.26,20.94,48.03,29.88,80.61,20.99,60.06,83.66,37.75,64.65,29.24,26.75,40.78,20.84,163.58,50.86
Seq_268,19.06,237.44,23.78,54.20,43.22,27.91,98.58,53.14,34.31,36.07,69.36,26.47,48.71,42.02,99.31,19.20,28.56,41.85,50.95,22.50
Seq_269,54.87,67.60,21.56,19.13,41.02,41.25,76.59,24.15,14.37,20.28,97.53,23.00,57.90,84.33,83.69,31.99,57.25,27.12,103.98,33.01
Seq_270,28.85,0.00,41.17,46.85,56.96,24.84,58.69,30.15,50.51,39.25,103.46,15.88,41.24,78.48,38.45,15.32,23.53,19.19,111.92,40.34
Seq_271,13.27,88.47,38.24,20.74,98.90,19.49,142.49,39.24,36.73,16.08,113.92,34.48,33.43,32.24,33.12,19.34,35.51,16.61,182.56,151.86
Seq_272,20.88,191.63,31.14,23.67,44.08,20.53,61.09,15.47,23.86,17.09,135.83,42.08,51.53,109.93,32.25,27.85,43.34,24.30,182.05,70.10
Seq_273,15.05,379.39,31.78,31.09,65.61,30.23,252.94,49.18,49.57,18.47,58.22,31.91,37.22,28.44,26.61,37.02,32.72,32.73,59.37,56.95
Seq_274,22.75,151.72,32.96,25.53,48.10,20.47,99.78,23.36,52.37,25.17,64.70,33.95,50.49,39.62,33.33,40.04,23.67,18.78,64.34,37.66
Seq_275,35.62,131.26,46.49,33.32,63.49,22.53,99.55,29.68,31.87,22.34,50.09,44.84,51.35,70.62,39.56,33.94,27.32,27.46,77.52,73.45
Seq_276,34.32,155.16,56.51,23.36,54.85,64.43,43.31,37.82,27.31,35.04,81.32,38.16,29.93,60.30,39.06,45.81,34.24,16.15,68.07,53.18
Seq_277,32.06,68.02,21.63,40.44,48.76,37.54,51.22,36.88,34.23,51.22,172.83,74.60,16.35,43.62,39.03,32.92,23.35,16.38,53.28,51.73
Seq_278,23.26,101.41,39.31,21.87,24.46,41.37,45.72,38.27,20.90,13.26,82.91,28.32,52.16,59.49,51.95,18.72,37.95,41.62,0.00,49.92
Seq_279,16.17,69.20,33.51,18.65,36.80,33.75,98.32,31.90,49.28,14.69,64.59,49.18,26.29,29.01,35.64,24.35,58.72,16.92,115.41,45.25
Seq_280,15.53,126.83,26.52,23.13,31.10,17.70,44.86,44.48,63.65,32.16,40.31,94.63,23.66,74.14,41.56,24.00,37.28,25.29,70.20,52.61
Seq_281,45.44,117.51,93.00,98.08,153.82,28.91,37.96,288.26,120.02,43.52,36.86,35.66,28.22,17.53,126.28,38.82,36.81,69.29,226.59,43.62
Seq_282,19.24,55.52,23.82,24.45,29.68,23.84,129.41,16.22,15.59,14.05,76.40,21.88,56.15,198.64,102.56,30.44,37.72,44.68,132.98,38.59
Seq_283,12.36,49.12,23.13,26.62,53.39,18.59,69.82,18.65,59.60,26.30,141.55,73.21,49.05,171.12,28.89,39.00,31.30,19.64,181.31,71.41
Seq_284,15.04,0.00,36.61,28.39,36.84,12.18,92.80,36.90,58.08,23.33,43.60,99.28,35.88,23.91,37.77,27.85,19.89,27.77,76.90,35.17
Seq_285,16.15,14.97,47.80,34.46,44.95,12.36,67.98,30.33,80.11,32.38,60.23,26.56,15.28,16.60,26.56,38.28,30.10,24.97,0.00,46.05
Seq_286,35.77,169.18,34.92,23.47,51.18,30.63,84.30,49.04,59.97,30.38,136.89,70.78,35.00,48.57,30.20,34.71,52.42,36.54,124.94,94.68
Seq_287,33.52,87.66,36.62,24.82,35.29,31.82,73.20,50.49,30.64,16.31,81.48,68.54,68.84,36.29,39.92,42.44,65.42,28.32,224.02,58.64
Seq_288,12.66,0.00,26.07,33.77,169.47,36.58,211.44,32.71,52.08,22.88,58.15,59.17,205.31,20.63,26.48,22.71,28.87,28.96,555.34,230.30
Seq_289,21.61,84.70,33.00,23.94,32.61,40.13,47.27,20.28,38.10,20.91,33.13,26.70,33.00,31.52,43.64,24.41,22.69,26.14,66.26,37.69
Seq_290,29.74,0.00,51.79,13.01,93.01,37.46,103.83,40.30,22.47,16.14,81.17,24.55,33.52,20.47,27.67,25.74,24.42,18.57,70.35,31.85
Seq_291,30.33,148.57,41.87,15.17,27.30,23.22,38.24,31.51,24.61,14.15,59.65,87.71,30.32,19.98,16.40,28.01,52.84,28.83,41.31,48.67
Seq_292,12.89,52.02,43.19,49.77,29.98,13.69,82.80,89.28,52.74,27.49,59.87,56.55,80.94,39.88,37.64,21.51,17.92,21.89,116.12,60.56
Seq_293,41.52,89.59,34.74,55.19,30.01,21.85,92.03,44.02,99.79,23.26,66.46,26.05,14.92,30.72,54.58,28.98,28.72,20.86,137.80,103.88
Seq_294,25.17,63.17,29.29,29.31,39.22,16.91,40.13,37.64,60.23,23.90,65.52,53.70,65.41,49.75,21.55,28.67,34.72,22.32,298.06,47.65
Seq_295,26.78,57.66,21.31,38.07,53.49,41.13,41.67,32.11,20.60,17.36,39.75,16.59,46.73,34.35,80.09,26.61,40.05,25.22,91.03,43.76
Seq_296,40.07,83.58,34.00,21.87,57.78,22.82,46.70,33.49,64.37,16.04,91.95,57.35,21.01,46.09,38.27,25.31,25.62,34.24,77.46,144.98
Seq_297,19.83,651.22,50.88,29.11,34.47,24.93,115.95,28.59,22.39,26.26,95.37,29.45,52.02,62.82,58.23,37.76,31.01,30.39,103.69,47.37
Seq_298,26.59,129.39,33.95,21.54,23.31,14.90,84.84,18.15,29.38,28.76,61.55,22.96,57.77,180.18,37.19,46.92,31.27,19.52,80.34,68.51
Seq_299,24.34,102.77,36.20,36.40,38.48,26.20,133.61,24.62,30.01,20.08,72.94,46.78,31.81,58.01,58.18,29.22,38.83,41.61,196.31,87.56
Seq_300,13.55,86.65,19.08,13.35,20.42,25.64,54.56,35.56,70.80,8.01,93.23,48.41,85.34,26.82,26.35,39.36,35.26,29.26,59.09,80.12
Seq_301,25.56,0.00,58.20,29.26,40.16,15.02,150.34,25.52,34.10,20.68,187.51,43.53,26.63,48.05,28.39,33.01,37.81,16.73,92.44,45.31
Seq_302,19.46,72.16,24.68,33.53,72.52,23.47,50.76,27.87,35.09,24.18,25.35,35.84,22.20,55.75,21.76,23.40,29.57,32.21,41.31,40.21
Seq_303,10.93,0.00,38.85,26.26,32.94,21.09,86.81,54.10,29.12,17.58,83.71,85.46,22.69,28.83,30.06,45.08,45.82,15.85,62.40,38.71
Seq_304,42.02,56.95,18.30,16.10,32.83,49.07,43.96,15.86,18.00,24.04,53.99,23.86,79.88,41.59,31.52,32.11,35.78,29.43,0.00,31.93
Seq_305,19.10,120.26,25.54,21.54,34.22,21.79,48.02,28.61,63.45,20.64,46.88,72.19,62.84,43.71,33.23,34.55,25.68,36.93,0.00,60.18
Seq_306,26.71,127.12,34.06,19.08,84.92,22.07,33.64,27.84,61.01,13.24,130.97,33.98,30.69,32.47,34.05,23.93,59.98,29.66,97.85,31.22
Seq_307,12.24,132.48,28.44,28.21,109.30,15.38,76.49,50.30,90.54,18.51,55.13,169.20,20.00,53.92,18.99,63.23,29.39,18.39,77.83,90.28
Seq_308,14.52,86.87,117.85,62.30,29.36,13.73,84.28,19.69,59.81,13.95,53.73,90.72,65.29,163.04,64.41,40.73,25.52,15.79,55.13,55.25
Seq_309,8.77,473.47,33.48,24.67,79.59,26.15,69.34,105.79,107.11,12.21,126.54,163.90,48.64,48.17,20.53,57.77,50.21,26.99,229.36,270.63
Seq_310,24.94,79.06,36.87,28.29,60.67,21.63,80.52,103.59,91.79,17.13,122.86,61.90,24.38,39.50,33.16,29.85,30.46,28.69,146.08,56.47
Seq_311,17.75,0.00,38.35,23.66,58.13,18.39,35.14,34.81,14.36,32.33,59.17,47.70,39.07,33.62,26.02,12.67,25.06,18.79,0.00,35.73
Seq_312,17.32,149.48,35.17,51.96,40.55,16.59,54.19,21.25,55.15,34.70,50.08,36.00,39.65,38.85,35.02,32.23,41.33,22.81,159.53,47.16
Seq_313,23.01,83.28,13.49,10.93,26.78,17.56,104.88,17.85,26.56,17.74,30.27,79.36,89.88,55.92,25.42,24.25,39.57,31.62,0.00,76.75
Seq_314,16.03,145.66,23.89,22.78,45.65,27.54,79.16,37.93,44.30,17.64,52.50,25.46,38.31,43.71,47.03,33.07,36.97,19.19,108.86,58.92
Seq_315,14.02,99.41,21.71,33.38,55.76,18.39,114.14,31.52,38.86,12.32,41.86,47.96,30.11,92.35,51.61,34.32,41.46,14.54,130.39,66.50
Seq_316,12.46,75.81,21.02,60.26,46.68,18.26,65.95,30.40,94.50,14.00,102.49,58.34,25.68,52.34,38.92,24.82,29.90,26.94,69.17,32.69
Seq_317,24.09,34.50,29.77,131.53,209.63,15.24,74.42,39.38,61.34,17.83,164.05,26.76,28.70,29.99,59.33,15.30,31.75,18.31,35.23,49.30
Seq_318,43.56,225.30,30.08,51.54,26.30,12.81,68.62,16.05,34.63,47.66,389.46,33.74,31.50,103.29,112.16,17.85,33.62,29.33,82.72,33.31
Seq_319,14.54,0.00,30.98,32.10,54.71,19.96,95.25,23.37,26.92,22.85,159.11,38.51,66.96,62.50,47.98,24.52,26.77,23.29,362.09,60.06
Seq_320,14.72,0.00,35.74,29.05,90.23,44.28,113.01,49.85,77.13,19.07,46.95,27.61,197.04,27.64,27.07,23.55,28.17,31.39,249.01,176.50
